emosi,dokumen
joy,"['day', 'feel', 'close', 'partner', 'friend', 'feel', 'peac', 'also', 'experi', 'close', 'contact', 'peopl', 'regard', 'great']"
fear,"['everi', 'time', 'imagin', 'someon', 'love', 'could', 'contact', 'serious', 'ill', 'even', 'death']"
anger,"['obvious', 'unjust', 'treat', 'possibl', 'elucid']"
sadness,"['think', 'short', 'time', 'live', 'relat', 'period', 'life', 'think', 'use', 'short', 'time']"
disgust,"['gather', 'found', 'involuntarili', 'sit', 'next', 'two', 'peopl', 'express', 'opinion', 'consid', 'low', 'discrimin']"
shame,"['realiz', 'direct', 'feel', 'discont', 'partner', 'way', 'tri', 'put', 'blame', 'instead', 'sort', 'feeli']"
guilt,"['feel', 'guilti', 'realiz', 'consid', 'materi', 'thing', 'import', 'care', 'relat', 'feel', 'selfcent']"
joy,"['girlfriend', 'taken', 'exam', 'went', 'parent', 'place']"
fear,"['first', 'time', 'realiz', 'mean', 'death']"
anger,"['car', 'overtak', 'anoth', 'forc', 'drive', 'road']"
sadness,"['recent', 'thought', 'hard', 'work', 'take', 'studi', 'one', 'want', 'tri', 'someth', 'els', 'read', 'theoret', 'book', 'english', 'understand']"
disgust,"['found', 'bristl', 'liver', 'past', 'tube']"
shame,"['tire', 'unmotiv', 'shout', 'girlfriend', 'brought', 'negat', 'side', 'charact', 'actual', 'import']"
guilt,"['think', 'studi', 'enough', 'weekend', 'think', 'abl', 'accomplish', 'someth', 'time']"
joy,"['pass', 'examin', 'think', 'well']"
fear,"['one', 'arrang', 'meet', 'someon', 'person', 'arriv', 'late', 'meantim', 'one', 'start', 'think', 'could', 'gone', 'wrong', 'eg', 'traffic', 'accid']"
anger,"['one', 'unjust', 'accus', 'someth', 'one', 'done']"
sadness,"['one', 'studi', 'seem', 'hopeless', 'difficult', 'uninterest']"
disgust,"['one', 'find', 'someon', 'know', 'like', 'one', 'thought', 'instanc', 'friend', 'steal', 'thing', 'like', 'quit', 'unwarr']"
shame,"['one', 'unjust', 'stupid', 'toward', 'someon', 'els']"
guilt,"['one', 'neglect', 'unjust', 'good', 'friend']"
joy,"['pass', 'exam', 'expect', 'pass']"
fear,"['climb', 'tree', 'pick', 'appl', 'angl', 'ladder', 'enabl', 'get', 'high', 'enough', 'impli', 'ladder', 'stabl']"
guilt,"['excus', 'necessari', 'get']"
joy,['children']
fear,"['2', 'year', 'old', 'son', 'climb', 'sat', '7th', 'floor', 'balconi', 'leg', 'hang', 'hold', 'tight', 'upper', 'rail', 'balconi', 'could', 'easili', 'lost', 'balanc', 'sat']"
anger,"['partner', 'attack', 'lost', 'three', 'teeth']"
sadness,"['see', 'children', 'tv', 'area', 'devast', 'drought', 'war']"
disgust,"['near', 'walk', 'blindworm', 'saw', 'crawl', 'away']"
shame,"['saw', '18', 'year', 'old', 'son', 'grab', 'oxygen', 'mask', 'breath', 'difficulti', 'bad', 'conscienc', 'stop', 'smoke', 'medic', 'dilat', 'breath', 'tube', 'also', 'caus', 'sens', 'guilt']"
guilt,"['experi', 'sens', 'guilt', 'middl', 'son', 'can', 'not', 'express', 'like', 'children', 'neither', 'verbal', 'write']"
joy,"['child', 'born']"
fear,"['spring', 'ice', 'melt', 'far', 'jetti', 'poke', 'ice', 'long', 'branch', 'tri', 'break', 'branch', 'went', 'ice', 'fell', 'water', 'close', 'head']"
anger,"['unjust', 'accus', 'direct', 'way', 'act', 'someon', 'close']"
sadness,"['fail', 'examin']"
disgust,"['drunkard', 'fell', 'start', 'bleed', 'wet', 'disgust', 'turn', 'sadnessunpleas']"
