tweet_id,sentiment,content
1956968477,worry,Re-pinging : why didn't you go to prom? BC my bf didn't like my friends
1956968636,worry,Hmmm. is down
1956969035,sadness,Charlene my love. I miss you
1956969172,sadness,I'm sorry at least it's Friday?
1956970047,sadness,Ugh! I have to beat this stupid song to get to the next rude!
1956971206,sadness,So sleepy again and it's not even that late. I fail once again.
1956971473,worry,lady gaga tweeted about not being impressed by her video leaking just so you know
1956972270,worry,I ate Something I don't know what it is... Why do I keep Telling things about food
1956972359,sadness,so tired and i think i'm definitely going to get an ear infection. going to bed &quot;early&quot; for once.
1956974706,hate,It is so annoying when she starts typing on her computer in the middle of the night!
1956976312,sadness,yeah :S i feel all funny cause i haven't slept enough i woke my mum up cause i was singing she's not impressed :S you?
1956977084,happiness,mmm much better day... so far! it's still quite early. last day of
1956980788,neutral,"time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
1956982383,sadness,"Aww Onward and upwards now, yay! Still sad to leave I bet."
1956983851,worry,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess Poor pumkpin
1956985535,happiness,"dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
1956987381,worry,fresh prince and sleepy sleeps my nightly routine gotta go to Dmv early tmrw
1956987600,hate,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
1956988223,worry,"Last one month due to summer, strawberry is not availble in the Chennai markets!"
1956989093,love,correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin. All better now! Hahaha
1956989514,sadness,hiii im on my ipod...i cant fall asleep
1956989526,sadness,dont wanna work 11-830 tomorrow but i get paid
1956989601,hate,cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1956989914,worry,First ever dropped call on my mobile. On a call to no less! ( being charged for data even though I have a data pack )
1956990288,hate,You win ... SIGH Rakeem
1956991009,hate,"Damn, that sucks"
1956991704,hate,THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
1956995762,sadness,Allergies suck ducks nuts. &lt;=====8=====&gt;
1956996081,hate,Waraku is tasteless and expensive! Portion is so little!!!!! re: waraku
1956996385,love,sounds good. Appreciate the suggestion. Been a week now and we're still offline Time to ask for a refund...
1956996673,hate,youstinkatrespondingtotexts!
1956996730,sadness,wonders why her Karma points turned into 0.00.
1956998370,love,Pats in philly at 2 am. I love it. Mmm cheesesteak. Miss my boyfriend but I love vacation.
1956998698,neutral,EpiCentre Wheelock Place - tourists only..
1957000077,neutral,miss 16'th
1957002082,sadness,"Last day working for the Uni today, sad times"
1957002773,love,"thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
1957004749,hate,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
1957005713,sadness,I've given up on pizza - kids would never let me have my fav (the hot ones)
1957006033,sadness,yearling in pet home died... very sad for their whole family
1957006245,sadness,"We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
1957006947,worry,"Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards"
1957007981,worry,it wont let me
1957009454,worry,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff"
1957009666,hate,Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
1957011291,sadness,daaammmnnnnn I do wish I was there.
1957013149,neutral,happy birthdayyy! hope you have an awesome day. didn't see you at next last night!
1957013166,hate,im doing that shit right now ... im on vacation and you got me workin
1957013697,neutral,guess its a no go girlie. I'm still at the gym and work at 6:30am
1957013723,hate,would wish the severe migrains would stop!!! doc's prescriptions arent working
1957013895,hate,cuz airlines are super lame.
1957014493,hate,I'm so very tired...and have insomnia.
1957014706,hate,"I hate Bakersfield and I hate the Ports, let me go home already. I want to start my vacation."
1957015287,neutral,what about me
1957015475,neutral,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking"
1957015719,worry,people in my house do not know how to close doors
1957018061,sadness,Up late with nothin 2 do.....
1957019121,neutral,"would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out."
1957019556,sadness,sometimes i wish things could go back to the way they were the beginning of last summer
1957019715,worry,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't"
1957020624,worry,"Work day 7 of 7,"
1957020702,happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
1957020861,neutral,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only"
1957021486,hate,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
1957023263,hate,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
